GEOID,RPL_EBM
17001010500,0.2879
17009970400,0.2233
17011965500,0.3796
17031825302,0.8208
17031827804,0.8837
17031828701,0.8406
17031825400,0.8388
17031827100,0.8223
17031827200,0.8452
17031829301,0.46
17031830100,0.5769
17031830400,0.4023
17031833000,0.9114
17031833300,0.8934
17031834600,0.8202
17031838600,0.7868
17031839500,0.8618
17031840300,0.9215
17031842800,0.9638
17033880400,0.6761
17033880600,0.2221
17043840101,0.9658
17043840705,0.8801
17043841314,0.8231
17043841320,0.3975
17043841404,0.2557
17043841604,0.7591
17043842100,0.3576
17043843601,0.5078
17043844305,0.6382
17043845510,0.3271
17043845701,0.6409
17043845808,0.8786
17097864901,0.5883
17099961900,0.4691
17099963900,0.6091
17103000100,0.7384
17105960900,0.4661
17111870404,0.2945
17111870812,0.1191
17111871313,0.7434
17113000108,0.4349
17113002101,0.4355
17115002001,0.4641
17117956600,0.5822
17119400801,0.5777
17119402300,0.8914
17121952000,0.7572
17135957500,0.3903
17137951900,0.3412
17141961200,0.3064
17143000900,0.7616
17143001200,0.7881
17143001500,0.8288
17143001800,0.7842
17143004101,0.3167
17147954500,0.2968
17031030900,0.936
17031031900,0.6434
17031061000,0.6672
17031062500,0.9225
17031081201,0.914
17031140400,0.9338
17031140601,0.8742
17031151200,0.5493
17031160501,0.7505
17031190402,0.5011
17031210602,0.8642
17031221600,0.9353
17031240900,0.7653
17031242600,0.7206
17031242900,0.8062
17031251100,0.8435
17031251300,0.6493
17031251400,0.4911
17031270500,0.9002
17031300700,0.8105
17031301600,0.8679
17031301803,0.9544
17031381200,0.5587
17031381800,0.5789
17031711400,0.755
17031750500,0.5217
17031770601,0.9042
17031801605,0.7701
17031801606,0.7049
17031802609,0.8622
17031803017,0.3213
17031803603,0.3658
17031803902,0.6514
17031804509,0.8482
17031804603,0.5329
17031805001,0.5982
17031805802,0.6174
17031806400,0.8274
17031810600,0.613
17031811302,0.9351
17031811900,0.8098
17031813702,0.9268
17031814300,0.793
17031815500,0.7386
17031816000,0.6178
17031804810,0.5838
17031805111,0.8659
17031805112,0.9716
17031310600,0.8302
17031330200,0.77
17031816700,0.9259
17031817200,0.8151
17031820204,0.8852
17127970100,0.7485
17131040400,0.2875
17135957700,0.7278
17137952000,0.616
17141961500,0.5994
17145030400,0.3288
17155954500,0.5003
17157951202,0.2074
17161022200,0.8597
17161022800,0.8694
17163501605,0.6867
17163501700,0.5259
17163502401,0.8526
17163503304,0.4156
17163503411,0.5401
17163504357,0.5304
17163504359,0.1673
17167001900,0.522
17167003100,0.3613
17171970600,0.2065
17177001000,0.225
17043841605,0.9932
17043841606,0.8685
17043843200,0.9429
17163501606,0.4964
17163503202,0.6947
17163503203,0.4895
17163503404,0.3364
17163503416,0.2205
17165955900,0.3052
17167000300,0.8993
17167002002,0.0749
17167003201,0.2017
17167003802,0.2657
17173959200,0.4688
17179021900,0.4674
17181950100,0.2263
17183000800,0.5378
17183010900,0.7389
17183011100,0.2544
17187870200,0.3737
17193958300,0.3704
17195000300,0.4543
17197880119,0.3117
17197880314,0.4164
17197880701,0.4761
17197881006,0.1957
17197881116,0.2052
17201001300,0.8607
17201001500,0.7546
17201003708,0.9654
17201003801,0.285
17201003806,0.2374
17201003810,0.2467
17201004004,0.8323
17201004200,0.4432
17043846701,0.9215
17045070300,0.4095
17057953200,0.4664
17077011701,0.1271
17079977300,0.2155
17089850710,0.2002
17089851000,0.8041
17089851909,0.719
17089852806,0.7369
17089853001,0.6447
17089853004,0.8192
17089853401,0.586
17089854506,0.1792
17031390500,0.5651
17031400300,0.7065
17031460200,0.8726
17031805201,0.5065
17031805302,0.87
17031806002,0.7818
17031806802,0.5508
17031807900,0.7623
17031828702,0.8473
17031829401,0.8324
17031829402,0.6736
17089854700,0.6569
17091011100,0.5972
17091011500,0.8155
17093890104,0.2624
17095000500,0.8067
17097860500,0.6127
17097861402,0.6531
17097861508,0.8186
17097861607,0.2063
17097863004,0.8476
17097863902,0.7688
17167000504,0.5452
17167002802,0.2152
17167003902,0.2365
17175951500,0.5344
17179020100,0.7926
17179021801,0.7749
17181950300,0.1142
17181950500,0.5691
17183010200,0.4901
17183010400,0.5355
17197880105,0.4172
17197880416,0.2413
17197880423,0.371
17197880431,0.1225
17197883210,0.8154
17197883803,0.3562
17197883810,0.4072
17199020100,0.2471
17199020500,0.5333
17201003500,0.6509
17201003811,0.372
17203030700,0.3727
17031160502,0.6974
17031170300,0.5908
17031170800,0.6044
17031691400,0.7749
17031700200,0.8771
17031710700,0.8067
17031740400,0.4326
17031770500,0.9655
17031801400,0.5231
17031801901,0.6235
17031802702,0.6661
17031803604,0.6095
17031804202,0.4432
17031804314,0.3606
17031804706,0.2294
17031804804,0.9193
17031804902,0.907
17031805701,0.8626
17031805801,0.7249
17031806006,0.4476
17031807400,0.8644
17031810302,0.7869
17031811301,0.9431
17031813500,0.7696
17143002200,0.5892
17143002300,0.4979
17143003104,0.308
17097864515,0.2702
17097864519,0.4722
17097866100,0.3979
17099962400,0.636
17099964000,0.4844
17099964300,0.8013
17103000700,0.3459
17111870905,0.5905
17111870906,0.5498
17111871201,0.427
17111871310,0.3258
17113001800,0.5187
17113005602,0.2431
17115002200,0.8694
17119403403,0.3452
17123961200,0.713
17131040100,0.3001
17135958000,0.5555
17137952100,0.3974
17139976900,0.5956
17143001900,0.5806
17157950800,0.3602
17157951100,0.5456
17159978100,0.3962
17031510300,0.9492
17031520300,0.9335
17031580700,0.9631
17031611500,0.9569
17031670900,0.7129
17031672000,0.8681
17031681200,0.7273
17031740100,0.3284
17031740200,0.3463
17031770700,0.9241
17031800300,0.5772
17031800600,0.4659
17031803010,0.3148
17031803100,0.4098
17031803400,0.573
17031804513,0.7641
17031804610,0.1408
17031804809,0.8669
17031811401,0.9651
17031812302,0.6672
17031814500,0.7958
17031817000,0.9464
17031817600,0.7115
17031817700,0.9225
17031818401,0.9106
17031820202,0.9544
17031820606,0.5996
17031821900,0.48
17031823200,0.7699
17031823803,0.4033
17031824004,0.8997
17031824005,0.691
17031824122,0.5391
17031824300,0.8233
17031829700,0.7935
17031830003,0.4951
17031830300,0.2746
17031838000,0.7685
17031838800,0.9831
17031842900,0.7959
17037000800,0.8263
17037001003,0.1948
17037001400,0.7655
17037001600,0.4585
17037002100,0.5096
17039971400,0.1887
17039971600,0.4289
17043840000,0.9758
17043840304,0.8003
17043840904,0.8613
17043841003,0.8492
17043841315,0.8187
17031561000,0.9195
17031580502,0.9624
17031600900,0.9238
17097861804,0.3621
17097863604,0.5228
17097863702,0.8451
17007010300,0.933
17009970500,0.0876
17011965300,0.5455
17019000200,0.6828
17019000301,0.4352
17019000800,0.7776
17019001201,0.406
17019001301,0.0621
17019010701,0.1373
17019010800,0.1523
17021958100,0.3935
17021958600,0.5098
17031801300,0.6086
17031801800,0.7633
17031801902,0.6768
17003957800,0.8325
17031140702,0.7287
17031190200,0.7429
17031190701,0.8249
17031191000,0.8683
17031191301,0.7307
17031240300,0.9171
17031241300,0.7916
17031241500,0.8063
17031242000,0.9074
17031242100,0.892
17031252102,0.926
17031271500,0.7813
17031282800,0.8151
17031292200,0.9557
17031310800,0.9328
17031351000,0.8366
17031420600,0.7489
17031430900,0.6607
17031460301,0.6269
17031491400,0.8843
17031813600,0.8111
17031816300,0.9666
17031816402,0.9211
17203030501,0.1788
17203030602,0.4028
17143002500,0.6177
17143003200,0.7585
17143004000,0.3849
17143004902,0.528
17147954800,0.4383
17157951000,0.6617
17157951201,0.1208
17161020200,0.6788
17161020301,0.2683
17161022300,0.8611
17163502200,0.8057
17163503415,0.397
17167000503,0.6379
17167000900,0.806
17167002801,0.2459
17167003400,0.3636
17167003602,0.0407
17167003901,0.2196
17177000400,0.3188
17179020800,0.6183
17179021102,0.1322
17097864411,0.4104
17097864511,0.5241
17097864514,0.5384
17005951400,0.3599
17019005300,0.8539
17019005601,0.3114
17019010601,0.1405
17021958400,0.9522
17021959000,0.9198
17031010300,0.7132
17031010502,0.7783
17031010503,0.7272
17031020301,0.8954
17031030800,0.9201
17031050200,0.7373
17001000700,0.4596
17001010400,0.7242
17003957900,0.6461
17005951200,0.4134
17019001204,0.1179
17019001206,0.2256
17019005402,0.5363
17019010500,0.5438
17021958900,0.6741
17023060300,0.562
17029000400,0.5402
17031010201,0.7486
17031030102,0.7191
17031030500,0.904
17031050500,0.8336
17031050800,0.8265
17031060300,0.7856
17031062000,0.7212
17031080300,0.766
17031100200,0.7125
17119403604,0.1921
17129010100,0.1667
17131040300,0.3822
17133600401,0.1201
17135957600,0.7331
17137952300,0.2753
17143002100,0.7218
17143002800,0.4733
17143003103,0.4879
17143003602,0.3305
17143003800,0.4713
17143004300,0.3567
17029000702,0.1304
17031020901,0.934
17031030103,0.6955
17031180100,0.6564
17031190900,0.8262
17031200200,0.8616
17031200300,0.8376
17031220902,0.836
17031221000,0.8427
17031222700,0.8113
17031242200,0.8853
17031271800,0.8447
17031291600,0.9462
17031292500,0.9561
17031301801,0.9601
17031340500,0.9356
17031350400,0.8722
17031381400,0.6748
17031411000,0.624
17031420200,0.5905
17031490800,0.8737
17031580400,0.9478
17031590500,0.9288
17031600700,0.8481
17031610800,0.9573
17031650200,0.9662
17031660400,0.8977
17031816800,0.9496
17031817400,0.9113
17031818200,0.9474
17031818800,0.6931
17031819100,0.9309
17031820603,0.8871
17031820901,0.9726
17031823704,0.58
17031824800,0.6323
17031826902,0.7433
17031827901,0.7033
17031828100,0.5655
17031828402,0.6828
17043843500,0.5337
17043844402,0.4817
17043845807,0.7754
17043846004,0.7244
17043846208,0.6539
17043846209,0.7219
17043846304,0.3412
17043846514,0.4453
17043846517,0.2857
17043846522,0.3421
17055041200,0.55
17067953900,0.2627
17075950800,0.3471
17077010400,0.6724
17085020300,0.3597
17089850103,0.494
17089851400,0.6958
17089852005,0.705
17089852608,0.7593
17089852807,0.4429
17089853300,0.6079
17089854507,0.3263
17091010203,0.1724
17091011200,0.3585
17007010102,0.7018
17011965200,0.9096
17015960300,0.2908
17019010400,0.6239
17019010603,0.2695
17025972100,0.8089
17031520100,0.9522
17031520600,0.9138
17031550200,0.9911
17031620300,0.9692
17163504356,0.1852
17167000800,0.6973
17167001600,0.6094
17167004200,0.6769
17173959600,0.1401
17177000600,0.651
17177001200,0.5423
17193958000,0.3858
17195001500,0.7217
17195001800,0.5424
17197880122,0.3529
17197880124,0.795
17031231200,0.8731
17031280400,0.8982
17031310200,0.824
17031330103,0.7379
17031351100,0.854
17031390300,0.5539
17031400800,0.6963
17031410900,0.6319
17031411200,0.6548
17031421200,0.6529
17031440202,0.7751
17031440700,0.8463
17031560900,0.9299
17031570300,0.9916
17031580800,0.9575
17031600400,0.9282
17031660800,0.844
17031660900,0.8374
17031680600,0.7909
17031710100,0.8464
17031720200,0.6681
17031802100,0.7863
17031804308,0.227
17031804315,0.147
17179021202,0.2628
17185957200,0.5756
17189950300,0.6655
17031010100,0.6486
17031020302,0.8599
17031030300,0.9098
17031100300,0.7351
17031100400,0.7145
17031140500,0.8844
17031171000,0.6558
17031190702,0.8683
17031191302,0.8508
17031243000,0.8951
17031243400,0.9398
17031271300,0.872
17031283100,0.8403
17031351400,0.9315
17031410500,0.532
17031410700,0.575
17031420400,0.7001
17031470100,0.8579
17031480400,0.7925
17031530501,0.7393
17031540101,0.9083
17031580100,0.9354
17031590600,0.9604
17031630300,0.9646
17031660301,0.8364
17031671900,0.887
17031711300,0.6994
17097864107,0.2379
17097864512,0.45
17097864601,0.4655
17097864801,0.5074
17099963400,0.662
17105960200,0.6704
17105960300,0.5413
17105960600,0.8124
17107953600,0.4401
17111870703,0.5395
17111870810,0.2456
17111870813,0.318
17111870814,0.1352
17031051000,0.9132
17031062100,0.6694
17031062800,0.8874
17031071200,0.7862
17031081000,0.8862
17031081700,0.8803
17031200401,0.8755
17031200402,0.8741
17031210601,0.8628
17031221500,0.9228
17031222500,0.6765
17031241400,0.795
17031243300,0.9564
17145030200,0.7955
17149952700,0.5558
17153971100,0.3402
17157950900,0.3599
17161021700,0.826
17161022100,0.267
17161022600,0.8749
17161022900,0.4641
17161024103,0.5053
17163502100,0.984
17163502300,0.9999
17163502900,0.7403
17001001100,0.0685
17031711500,0.7893
17031730300,0.7328
17031730700,0.5313
17031770602,0.9322
17029000600,0.3387
17029001100,0.3683
17031030601,0.8905
17031030703,0.8923
17031031800,0.6067
17031040300,0.6392
17031040600,0.7437
17031062200,0.6408
17031062600,0.9061
17031071400,0.7652
17031110200,0.8464
17091012400,0.7835
17093890302,0.6922
17095000100,0.4345
17095000900,0.9363
17097860200,0.3508
17197880202,0.9037
17197880422,0.3063
17197880428,0.5568
17197881108,0.6116
17197881113,0.1968
17197883211,0.922
17197883811,0.3437
17197883902,0.4326
17197884003,0.2201
17201001200,0.9383
17201003709,0.9133
17201003805,0.3688
17011965000,0.8463
17015960200,0.5245
17017960100,0.1691
17019001205,0.4108
17019010604,0.6728
17023060400,0.2301
17025971900,0.2213
17027900404,0.1004
17027900601,0.0838
17031020100,0.7577
17031030702,0.7332
17031031501,0.66
17031062400,0.8362
17031063303,0.5694
17031070101,0.7126
17031081403,0.9207
17031100700,0.7492
17031130300,0.6441
17031140200,0.4854
17031140302,0.7246
17031140701,0.6829
17031161100,0.9317
17031210900,0.9296
17031221200,0.6793
17031818300,0.857
17031819600,0.9288
17031820300,0.9479
17031820501,0.9148
17031829302,0.4656
17031830006,0.629
17031830201,0.7462
17031830800,0.8363
17031831600,0.6714
17031832100,0.6974
17031832900,0.9338
17031834400,0.5869
17031836400,0.492
17031836600,0.8131
17031836800,0.8382
17001000202,0.2437
17001010600,0.527
17017960300,0.4287
17023060200,0.662
17031040201,0.7662
17031051100,0.9217
17031061500,0.7161
17031063100,0.6994
17031063400,0.6898
17031071700,0.8267
17031110300,0.8558
17031150401,0.8469
17031160601,0.7211
17031170700,0.5913
17031171100,0.7056
17031190300,0.6525
17043841110,0.4454
17043841206,0.76
17043841208,0.8459
17043841308,0.8525
17043841327,0.3793
17043841504,0.8861
17043842604,0.4132
17043844310,0.5286
17043844801,0.4994
17043845508,0.8176
17043846104,0.7041
17043846408,0.7722
17045070400,0.5764
17047956900,0.1517
17055041000,0.4307
17057953300,0.3683
17063000800,0.6054
17067954300,0.1712
17075950700,0.3801
17077011400,0.2033
17081050700,0.696
17001000100,0.297
17001000900,0.4713
17007010604,0.1404
17011965100,0.7858
17019000302,0.4486
17019000401,0.4684
17019000402,0.2747
17019001302,0.1459
17019010300,0.4318
17019011001,0.5636
17021958200,0.5965
17021958800,0.5097
17029000500,0.5355
17031020601,0.7217
17031030400,0.8857
17031040402,0.7913
17031050700,0.8626
17031060800,0.7073
17031061902,0.6984
17031070700,0.9091
17031071800,0.7958
17031080202,0.8418
17031100600,0.7274
17031140100,0.6601
17097864410,0.383
17097864521,0.5596
17097864802,0.5677
17099961701,0.4541
17099962900,0.9387
17111870904,0.7234
17111871307,0.7061
17113005104,0.091
17113005800,0.5033
17115001700,0.6656
17117956700,0.3449
17119401905,0.948
17119403502,0.3501
17119404000,0.9884
17121951900,0.6848
17125956800,0.2115
17031040900,0.6383
17031050600,0.8094
17031070103,0.7181
17031071100,0.8591
17031110501,0.8699
17031120200,0.8366
17031120400,0.9377
17031140800,0.7268
17031160700,0.8503
17031161300,0.9492
17031190601,0.6313
17031210700,0.8822
17031220601,0.8456
17031230200,0.8344
17031230400,0.8685
17031242700,0.6911
17031250600,0.8645
17031250700,0.9037
17031260600,0.9701
17031300500,0.9073
17031310900,0.9374
17031320600,0.8705
17031350100,0.8772
17031420500,0.8137
17031670300,0.8398
17031670500,0.8408
17031691500,0.7494
17031700301,0.8524
17031710300,0.8406
17001000400,0.6062
17001000500,0.5526
17001010200,0.2646
17001010301,0.0945
17001010302,0.4113
17011964700,0.4412
17011964800,0.4418
17011965400,0.2749
17019001400,0.2392
17001000600,0.3876
17001001002,0.1152
17003957700,0.1365
17005951300,0.7096
17007010200,0.8995
17007010501,0.2348
17007010603,0.4089
17019001203,0.0268
17019010902,0.4869
17025972200,0.4524
17027900200,0.1692
17029000900,0.0782
17031801500,0.8102
17031801603,0.7374
17031802300,0.5047
17031802402,0.7301
17031804102,0.3205
17031804106,0.5422
17031804611,0.1956
17031805002,0.6625
17031805106,0.4023
17031806103,0.9297
17031806104,0.8536
17031808302,0.956
17031808500,0.8288
17031811000,0.6934
17031812200,0.6501
17031813200,0.6282
17031814400,0.8624
17031815100,0.7528
17031815800,0.858
17031818000,0.9379
17031610400,0.9637
17031630400,0.965
17031630500,0.9645
17031640400,0.9166
17031640600,0.9678
17031640800,0.8368
17031670600,0.7881
17031700502,0.7161
17031710200,0.8625
17031710600,0.8788
17031770201,0.7472
17031770800,0.9216
17031804305,0.2594
17031804405,0.4697
17031804512,0.6028
17031806501,0.9472
17031807200,0.7517
17031808900,0.6678
17031809700,0.7341
17031810000,0.5254
17097861201,0.5208
17099961702,0.6767
17099963500,0.5766
17099963600,0.7512
17099964200,0.6213
17101881000,0.533
17103000500,0.3597
17103000900,0.2532
17105961000,0.6634
17109010900,0.2387
17113005502,0.2487
17113006000,0.5158
17115001000,0.8661
17115001100,0.9452
17115002401,0.5961
17115002402,0.558
17119400802,0.8461
17119401800,0.9143
17119402805,0.3218
17031822701,0.5569
17031822702,0.365
17031822801,0.452
17031822900,0.8226
17031823101,0.6853
17031823703,0.713
17031824105,0.2514
17031824113,0.1971
17031824129,0.4902
17031826201,0.6122
17031827400,0.6137
17031827600,0.7328
17031828507,0.5685
17031835000,0.7598
17031836300,0.4885
17031839100,0.905
17031839900,0.9421
17037000700,0.4983
17041952400,0.6592
17043840104,0.6746
17031816900,0.9384
17031818100,0.9574
17031819700,0.8345
17031820203,0.8711
17031821300,0.8215
17031821401,0.6119
17031821402,0.7344
17031823002,0.7285
17031823604,0.4557
17031823605,0.6901
17031823805,0.5917
17031824701,0.7061
17031824702,0.5703
17031828602,0.5845
17031828801,0.377
17031829800,0.2482
17031829904,0.5684
17031830005,0.3587
17031831200,0.8777
17031831400,0.9189
17031804404,0.3771
17031804508,0.6616
17031804514,0.8875
17031804711,0.2295
17031804712,0.2273
17031804805,0.2686
17031805600,0.6413
17031806502,0.9293
17031806900,0.4781
17031808400,0.8967
17031809401,0.6773
17031809402,0.68
17031809600,0.7086
17031812100,0.6419
17031815000,0.604
17031816401,0.9384
17031816500,0.9546
17031817900,0.9148
17031821200,0.5994
17031823302,0.9206
17031823602,0.7013
17089851101,0.6501
17089851908,0.2821
17089852300,0.7723
17007010400,0.923
17011964900,0.335
17015960600,0.3389
17019001100,0.4598
17019005401,0.8097
17019005602,0.0264
17019006000,0.1454
17019010100,0.5633
17019010204,0.6202
17019011100,0.659
17029000800,0.0332
17031010501,0.7664
17031020701,0.4499
17031020902,0.901
17031030104,0.7881
17031030706,0.7229
17031031100,0.9006
17031031200,0.7528
17031040700,0.6545
17031060100,0.6296
17031061800,0.733
17031063200,0.6944
17043841705,0.3352
17043841802,0.5832
17043845602,0.4668
17043846205,0.4055
17043846413,0.727
17043846519,0.5484
17045070200,0.2338
17051951100,0.3709
17075950300,0.3799
17077010300,0.3706
17077010800,0.7166
17081050500,0.2362
17081051000,0.6677
17109010401,0.2875
17109980000,0.4546
17111870502,0.2919
17113000400,0.4138
17113005201,0.5236
17117956800,0.1582
17117957100,0.5055
17117957200,0.1961
17119400102,0.9911
17119401300,0.9108
17119402000,0.6648
17119402801,0.3259
17119402803,0.7396
17133600102,0.8554
17133600502,0.4593
17141961302,0.6497
17143002600,0.7178
17143003403,0.5596
17145030500,0.3194
17163503211,0.4717
17167001004,0.0686
17167001300,0.5405
17167001400,0.7849
17167003000,0.3429
17173959100,0.3323
17179020400,0.6623
17179021603,0.5292
17183000600,0.5461
17183000700,0.415
17183011000,0.5861
17185957400,0.2987
17189950200,0.3497
17195000400,0.3842
17197880204,0.6839
17197880324,0.3844
17197880425,0.2767
17197880503,0.2723
17197881105,0.4801
17197881107,0.5919
17197881302,0.918
17031711200,0.7856
17031730600,0.7323
17031770300,0.9403
17031800100,0.4001
17031801200,0.6123
17031801607,0.4902
17031802004,0.6511
17031802701,0.6764
17031802900,0.4433
17031803016,0.3781
17031803605,0.5089
17031803614,0.3762
17031804204,0.4968
17031804808,0.32
17031804901,0.8133
17031806202,0.8793
17031806300,0.9442
17031807600,0.9011
17031810301,0.892
17031840000,0.9269
17031840400,0.9289
17037001004,0.1137
17037001300,0.8879
17043840600,0.9229
17043840801,0.9802
17043840901,0.6927
17043840907,0.4893
17043841503,0.9068
17043842400,0.4798
17043844001,0.8404
17043844307,0.3919
17043844601,0.7782
17043845300,0.6904
17043846307,0.4819
17043846310,0.2585
17043846404,0.6928
17043846410,0.6703
17043846511,0.4525
17045070100,0.477
17049950300,0.3008
17029001000,0.4585
17031010202,0.7081
17031030200,0.8977
17031040800,0.6466
17031051400,0.9266
17031070400,0.7974
17031080400,0.7888
17031110100,0.8577
17031150800,0.9005
17031210501,0.8574
17031221100,0.8127
17031222600,0.6942
17031230700,0.866
17031230800,0.8857
17031243500,0.9022
17031250400,0.8492
17031260400,0.9612
17031283800,0.821
17031301200,0.9515
17031310700,0.8212
17031340300,0.924
17031351500,0.9024
17031390200,0.4981
17031420100,0.5819
17031420700,0.7701
17031420800,0.7291
17031430101,0.5207
17031431301,0.8084
